Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,100nF,
"C3, C5, C6, C7",0402,4,0.1uF,
C4,0603,1,10uF,
"C44, C55, C59, C60, C61, C62, C70, C71",0402,8,10uF,
C45,0402,1,22uF,
"C56, C65",0402,2,1uF,
"C57, C69",0402,2,4.7uF,
C58,0402,1,47nF,
"C63, C67, C68",0402,3,2.2uF,
C64,0402,1,470nF,
C8,0603,1,22uF,
D1,D_SOD-523,1,1N4148WT,
"D2, D3",0201,2,LED,
J1,JST_EH_S3B-EH_1x03_P2.50mm_Horizontal,1,Conn_01x03,C263754
J2,PinHeader_1x03_P2.00mm_Vertical,1,Conn_01x03_Pin,
L4,0603,1,1uH,
"L5, L6",0603,2,470nH,
L9,L_Murata_DFE201610P,1,470nH,C882980
"Q1, Q2",SOT-23,2,SS8050,SS8050-HF
Q4,SOT-523-3_L1.6-W0.8-P1.00-LS1.6-BR,1,~,C155524
Q5,SOT-363_L2.0-W1.3-P0.65-LS2.1-BL,1,~,C460232
Q6,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,~,C177033
"R1, R2",0402,2,5.1K,
"R21, R23, R6, R7, R8, R9",0402,6,10k,CRCW040210K0FKED
"R31, R32",0402,2,1.5K,
R33,0402,1,4.7K,
"R34, R36, R40, R41",0402,4,10K,
R35,0402,1,100,
R37,0402,1,470,
R38,0402,1,30.1K,
R39,0402,1,5.23K,
"R4, R5",0402,2,5K,CRCW040210K0FKED
R42,R2512,1,WW25WR010FTL,C171418
R43,0402,1,DNP,
"R44, R45",0402,2,1.5,
"R46, R47",0402,2,3.3,
"R48, R49",0402,2,100K,
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,SW_Push,C720477
"TP1, TP2, TP3",TestPoint_Pad_1.5x1.5mm,3,TestPoint,
U1,WIFI-SMD_ESP32-WROOM-32E,1,ESP32-WROOM-32E(8MB),C701342
U15,WLCSP-9_L1.2-W1.2-R3-C3-P0.40-BL,1,FAN48610BUC50X,C890711
U2,SOT-666,1,USBLC6-2SC6,USBLC6-2SC6
U3,QFN-24_L4.0-W4.0-P0.50-TL-EP2.7,1,~,C181475
U4,DSBGA-9_L1.7-W1.6-R3-C3-P0.50-BL,1,~,C528617
U5,DSBGA-6_L1.4-W1.1-R3-C2-P0.40-BL,1,~,C2070970
U6,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,C964632
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
