Designator,Mid X,Mid Y,Rotation,Layer
C1,207.55,-120.3775,0.0,top
C3,212.42,-110.385,270.0,top
C4,211.12,-110.96,270.0,top
C44,193.58,-114.1,0.0,top
C45,193.005,-118.35,0.0,top
C5,191.67,-93.99,270.0,top
C55,198.13,-114.48,270.0,top
C56,199.6,-114.95,180.0,top
C57,197.63,-112.75,180.0,top
C58,197.65,-111.65,0.0,top
C59,199.28,-108.4,0.0,top
C6,187.0,-86.575,90.0,top
C60,199.28,-107.4,0.0,top
C61,203.18,-108.45,0.0,top
C62,203.18,-107.4,0.0,top
C63,201.18,-103.3,0.0,top
C64,201.18,-102.25,0.0,top
C65,203.16,-104.05,0.0,top
C67,193.68,-112.125,90.0,top
C68,189.83,-110.875,270.0,top
C69,188.33,-108.925,180.0,top
C7,191.79,-81.9,90.0,top
C70,188.33,-109.925,180.0,top
C71,189.08,-115.975,0.0,top
C8,189.87,-81.96,90.0,top
D1,218.16,-118.715,90.0,top
D2,220.29,-107.925,0.0,top
D3,220.29,-108.785,0.0,top
J1,191.89,-125.2575,90.0,top
L4,197.18,-109.3625,90.0,top
L5,192.03,-109.625,90.0,top
L6,188.53,-111.975,270.0,top
L9,193.63,-116.125,270.0,top
Q1,219.53,-102.2375,270.0,top
Q2,212.03,-102.275,270.0,top
Q4,207.78,-112.0,90.0,top
Q5,215.76,-118.255,270.0,top
Q6,212.15,-118.205,180.0,top
R1,204.9,-121.525,90.0,top
R2,201.15,-121.475,90.0,top
R21,214.57,-112.475,0.0,top
R23,216.67,-112.475,180.0,top
R31,201.57,-115.4,180.0,top
R32,203.57,-115.4,0.0,top
R33,205.08,-114.91,270.0,top
R34,206.13,-113.2,270.0,top
R35,208.28,-114.205,270.0,top
R36,207.78,-109.95,0.0,top
R37,205.49,-111.35,180.0,top
R38,205.49,-110.3,180.0,top
R39,205.03,-108.7,270.0,top
R4,221.75,-107.365,270.0,top
R40,198.53,-105.9,180.0,top
R41,201.63,-107.89,90.0,top
R42,207.7,-104.23,90.0,top
R44,190.28,-108.325,0.0,top
R45,190.28,-109.375,0.0,top
R46,188.03,-114.475,90.0,top
R47,189.08,-114.475,90.0,top
R48,216.25,-116.405,180.0,top
R49,214.76,-120.705,270.0,top
R5,221.76,-109.355,90.0,top
R6,191.7,-84.44,270.0,top
R7,214.18,-104.285,90.0,top
R8,217.38,-104.275,90.0,top
R9,186.86,-96.57,90.0,top
SW1,189.38,-87.13,90.0,top
SW2,189.35,-93.85,270.0,top
U1,203.1,-90.15,270.0,top
U15,191.73,-116.55,90.0,top
U2,203.07,-121.4875,90.0,top
U3,201.58,-111.965,180.0,top
U4,200.93,-105.3875,0.0,top
U5,192.08,-112.125,0.0,top
U6,216.13,-108.575,90.0,top
USB1,203.1,-126.46,0.0,top
